ㄝ ㄝ e , big5
㧊 ㄅㄚˊ ba2 186 utf8
㧞 ㄅㄚˊ ba2 186 utf8
䟛 ㄅㄚˊ ba2 186 utf8
䟦 ㄅㄚˊ ba2 186 utf8
坺 ㄅㄚˊ ba2 186 utf8
墢 ㄅㄚˊ ba2 186 utf8
抜 ㄅㄚˊ ba2 186 utf8
炦 ㄅㄚˊ ba2 186 utf8
秡 ㄅㄚˊ ba2 186 utf8
鮁 ㄅㄚˊ ba2 186 utf8
𧿳 ㄅㄚˊ ba2 186 utf8
吧 ㄅㄚ˙ ba5 187 big5
罷 ㄅㄚ˙ ba5 187 big5
琶 ㄅㄚ˙ ba5 187 big5
杷 ㄅㄚ˙ ba5 187 big5
爸 ㄅㄚ˙ ba5 187 big5
巴 ㄅㄚ˙ ba5 187 big5
欛 ㄅㄚ˙ ba5 187 utf8
罢 ㄅㄚ˙ ba5 187 utf8
𣠽 ㄅㄚ˙ ba5 187 utf8
掰 ㄅㄞ bai 19 big5
百 ㄅㄞˇ bai3 193 big5
擺 ㄅㄞˇ bai3 193 big5
佰 ㄅㄞˇ bai3 193 big5
襬 ㄅㄞˇ bai3 193 big5
粨 ㄅㄞˇ bai3 193 big5
捭 ㄅㄞˇ bai3 193 big5
矲 ㄅㄞˇ bai3 193 big5
絔 ㄅㄞˇ bai3 193 big5
㧱 ㄅㄞˇ bai3 193 utf8
摆 ㄅㄞˇ bai3 193 utf8
栢 ㄅㄞˇ bai3 193 utf8
竡 ㄅㄞˇ bai3 193 utf8
敗 ㄅㄞˋ bai4 194 big5
拜 ㄅㄞˋ bai4 194 big5
唄 ㄅㄞˋ bai4 194 big5
粺 ㄅㄞˋ bai4 194 big5
椑 ㄅㄞˋ bai4 194 big5
稗 ㄅㄞˋ bai4 194 big5
矲 ㄅㄞˋ bai4 194 big5
庍 ㄅㄞˋ bai4 194 big5
㠔 ㄅㄞˋ bai4 194 utf8
拝 ㄅㄞˋ bai4 194 utf8
鞴 ㄅㄞˋ bai4 194 utf8
𠼕 ㄅㄞˋ bai4 194 utf8
𡏯 ㄅㄞˋ bai4 194 utf8
白 ㄅㄞˊ bai2 196 big5
䱝 ㄅㄞˊ bai2 196 utf8
幫 ㄅㄤ bang 1; big5
邦 ㄅㄤ bang 1; big5
傍 ㄅㄤ bang 1; big5
梆 ㄅㄤ bang 1; big5
鞤 ㄅㄤ bang 1; big5
縍 ㄅㄤ bang 1; big5
垹 ㄅㄤ bang 1; big5
㙃 ㄅㄤ bang 1; utf8
㧍 ㄅㄤ bang 1; utf8
㨍 ㄅㄤ bang 1; utf8
㿶 ㄅㄤ bang 1; utf8
䢶 ㄅㄤ bang 1; utf8
䧛 ㄅㄤ bang 1; utf8
䩷 ㄅㄤ bang 1; utf8
帮 ㄅㄤ bang 1; utf8
幇 ㄅㄤ bang 1; utf8
幚 ㄅㄤ bang 1; utf8
挷 ㄅㄤ bang 1; utf8
捠 ㄅㄤ bang 1; utf8
沯 ㄅㄤ bang 1; utf8
浜 ㄅㄤ bang 1; utf8
邫 ㄅㄤ bang 1; utf8
榜 ㄅㄤˇ bang3 1;3 big5
綁 ㄅㄤˇ bang3 1;3 big5
牓 ㄅㄤˇ bang3 1;3 big5
膀 ㄅㄤˇ bang3 1;3 big5
氆 ㄅㄤˇ bang3 1;3 big5
㧍 ㄅㄤˇ bang3 1;3 utf8
挷 ㄅㄤˇ bang3 1;3 utf8
騯 ㄅㄤˇ bang3 1;3 utf8
髈 ㄅㄤˇ bang3 1;3 utf8
棒 ㄅㄤˋ bang4 1;4 big5
磅 ㄅㄤˋ bang4 1;4 big5
謗 ㄅㄤˋ bang4 1;4 big5
蚌 ㄅㄤˋ bang4 1;4 big5
傍 ㄅㄤˋ bang4 1;4 big5
鎊 ㄅㄤˋ bang4 1;4 big5
旁 ㄅㄤˋ bang4 1;4 big5
甏 ㄅㄤˋ bang4 1;4 big5
塝 ㄅㄤˋ bang4 1;4 big5
艕 ㄅㄤˋ bang4 1;4 big5
蒡 ㄅㄤˋ bang4 1;4 big5
㝑 ㄅㄤˋ bang4 1;4 utf8
㧍 ㄅㄤˋ bang4 1;4 utf8
䧛 ㄅㄤˋ bang4 1;4 utf8
嫎 ㄅㄤˋ bang4 1;4 utf8
挷 ㄅㄤˋ bang4 1;4 utf8
稖 ㄅㄤˋ bang4 1;4 utf8
蚄 ㄅㄤˋ bang4 1;4 utf8
蜯 ㄅㄤˋ bang4 1;4 utf8
髈 ㄅㄤˋ bang4 1;4 utf8
𢜗 ㄅㄤˋ bang4 1;4 utf8
玻 ㄅㄛ bo 1i big5
撥 ㄅㄛ bo 1i big5
剝 ㄅㄛ bo 1i big5
菠 ㄅㄛ bo 1i big5
缽 ㄅㄛ bo 1i big5
嶓 ㄅㄛ bo 1i big5
砵 ㄅㄛ bo 1i big5
播 ㄅㄛ bo 1i big5
